Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),Context,,,,,,,,
2.12,11.56,17.29,4.64,18.01,0,392,26,13,237,not valid frame,1,14726,30030
2.13,11.76,11.43,4.6,11.48,0,394,28,13,237,not valid frame,1,15126,30430
2.14,11.68,11.86,4.81,11.88,0,394,28,0,237,not valid frame,1,15126,30430
2.16,11.79,11.81,4.85,11.66,0,1781648,28,13,237,not valid frame,1,15126,394
2.17,11.62,11.55,4.57,11.7,0,1782672,28,13,237,not valid frame,1,15126,394
2.18,11.24,11.59,4.59,11.59,0,1782672,28,13,237,not valid frame,1,15126,394
2.19,16.41,11.42,4.55,11.35,0,394,28,13,237,not valid frame,1,15126,30430
2.21,18.94,17.21,4.65,16.34,0,394,28,13,237,not valid frame,1,15126,30430
2.23,17.12,19,4.72,18.94,0,394,28,13,237,not valid frame,1,15126,30430
2.24,11.16,16.05,4.78,17.18,0,394,28,13,237,not valid frame,1,15126,30430
2.25,11.67,11.36,4.66,11.21,0,394,28,0,237,not valid frame,1,15126,30430
2.27,11.41,11.61,4.57,11.53,0,394,28,0,237,not valid frame,1,15126,30430
2.28,11.46,11.36,5.21,11.57,0,394,28,14,237,not valid frame,1,15126,30430
2.29,11.88,11.55,4.68,11.31,0,1784720,29,0,237,not valid frame,1,15126,396
2.3,11.34,11.7,4.7,11.89,0,1785744,29,0,237,not valid frame,1,15126,396
2.31,14.27,11.41,6.9,12.14,0,1785744,29,14,237,not valid frame,1,15126,396
2.33,19.31,15.39,4.75,13.46,0,1786768,29,14,237,not valid frame,1,15126,396
2.35,17.25,19.06,5.09,19.57,0,397,29,0,237,not valid frame,1,15126,30486
2.36,11.61,16.44,4.77,16.95,0,394,27,13,237,not valid frame,1,14726,30086
2.37,11.6,11.54,4.78,11.69,0,394,27,0,237,not valid frame,1,14726,30074
2.39,11.44,11.77,4.78,11.61,0,394,27,0,237,not valid frame,1,14726,30074
2.4,11.63,11.25,4.52,11.34,0,394,27,13,237,not valid frame,1,14726,30074
2.41,11.33,11.67,4.63,11.7,0,394,27,0,237,not valid frame,1,14726,30074
2.42,11.6,11.45,4.68,11.31,0,394,27,0,237,not valid frame,1,14726,30074
2.43,11.4,11.42,4.66,11.54,0,394,27,13,237,not valid frame,1,14726,30074
2.44,20.18,11.51,4.79,11.44,0,394,27,0,237,not valid frame,1,14726,30074
2.46,20.18,21,6.29,20.04,0,394,27,13,237,not valid frame,1,14726,30074
2.48,19.27,20.31,3.77,20.01,0,394,27,0,237,not valid frame,1,14726,30074
2.5,14.07,19.11,3.23,19.31,0,394,27,0,237,not valid frame,1,14726,30074
2.52,18.62,13.54,3.91,14.39,0,394,27,0,237,not valid frame,1,14726,30074
