Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),Context,,,,,,,,
25,9.16,9.17,3.08,9.02,0,,,,,,,,
50,9.34,9.35,3.43,9.36,0,,,,,,,,
75,9.53,9.54,3.68,9.71,0,,,,,,,,
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),Context,DrawPrimitiveCalls,MeshDrawCalls,LastRendered,LightsInScene,ShadowedLight,UnshadowedLight,StaticMeshTriangles,Triangles
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1.5,8.79,8.8,2.49,8.67,0,352,30,0,237,not valid frame,1,14878,30162
1.51,8.65,8.69,2.48,9.1,0,352,30,0,237,not valid frame,1,14878,30162
1.52,8.71,8.68,2.47,8.49,0,352,30,14,237,not valid frame,1,14878,30162
1.52,8.82,8.78,2.52,8.93,0,352,30,0,237,not valid frame,1,14878,30162
1.53,8.7,8.74,2.51,9.08,0,353,30,0,237,not valid frame,1,14878,30174
1.54,8.89,8.76,2.57,8.3,0,352,30,14,237,not valid frame,1,14878,30162
1.55,8.83,8.93,2.58,9.37,0,352,30,14,237,not valid frame,1,14878,30162
1.56,8.8,8.78,2.47,8.13,0,352,30,14,237,not valid frame,1,14878,30162
1.57,8.83,8.83,2.53,9.48,0,353,30,14,237,not valid frame,1,14878,30174
1.58,8.98,9.08,2.71,8.35,0,352,30,14,237,not valid frame,1,14878,30162
1.59,8.75,8.77,2.5,9.05,0,352,30,0,237,not valid frame,1,14878,30162
1.6,8.7,8.68,2.52,8.77,0,352,30,0,237,not valid frame,1,14878,30162
1.6,8.85,8.68,2.56,8.61,0,352,30,14,237,not valid frame,1,14878,30162
1.61,8.67,8.83,2.5,8.76,0,352,30,14,237,not valid frame,1,14878,30162
1.62,8.97,8.81,2.52,8.91,0,352,30,0,237,not valid frame,1,14878,30162
1.63,8.73,8.82,2.46,8.56,0,352,30,0,237,not valid frame,1,14878,30162
1.64,9.16,9.04,2.51,9.19,0,352,30,0,237,not valid frame,1,14878,30162
1.65,8.73,8.91,2.49,8.48,0,352,30,0,237,not valid frame,1,14878,30162
1.66,10.66,8.9,2.6,9.31,0,352,30,14,237,not valid frame,1,14878,30162
1.67,9.6,10.49,2.51,8.68,0,353,30,14,237,not valid frame,1,14878,30174
1.68,8.98,9.62,2.54,10.68,0,353,30,14,237,not valid frame,1,14878,30174
1.69,8.77,9,2.62,9.73,0,352,30,0,237,not valid frame,1,14878,30162
1.7,8.79,8.68,2.56,8.78,0,352,30,14,237,not valid frame,1,14878,30166
1.7,8.59,8.76,2.52,8.9,0,352,30,0,237,not valid frame,1,14878,30166
1.71,8.71,8.62,2.53,8.58,0,352,30,0,237,not valid frame,1,14878,30166
1.72,8.72,8.71,2.51,8.76,0,352,30,0,237,not valid frame,1,14878,30166
1.73,8.74,8.8,2.53,8.68,0,352,30,14,237,not valid frame,1,14878,30166
1.74,9.32,8.7,2.51,8.71,0,352,30,14,237,not valid frame,1,14878,30166
1.75,8.66,9.27,2.55,8.82,0,352,30,0,237,not valid frame,1,14878,30166
1.76,8.85,8.83,2.55,9.27,0,352,30,0,237,not valid frame,1,14878,30166
1.77,10.53,8.76,2.56,8.99,0,352,30,14,237,not valid frame,1,14878,30166
1.78,8.95,10.55,2.65,9.19,0,352,30,0,237,not valid frame,1,14878,30166
1.79,8.76,8.89,2.71,10.87,0,352,30,0,237,not valid frame,1,14878,30166
1.79,9.26,9.27,2.55,8.45,0,352,30,0,237,not valid frame,1,14878,30166
1.8,8.87,8.74,2.54,8.88,0,352,30,14,237,not valid frame,1,14878,30166
1.81,8.83,8.85,2.51,9.11,0,352,30,14,237,not valid frame,1,14878,30166
1.82,8.9,8.89,2.53,9,0,352,30,14,237,not valid frame,1,14878,30166
1.83,8.72,8.8,2.51,8.62,0,352,30,14,237,not valid frame,1,14878,30166
1.84,8.93,8.77,2.5,9.07,0,352,30,0,237,not valid frame,1,14878,30166
1.85,8.92,9.03,2.57,8.55,0,352,30,14,237,not valid frame,1,14878,30166
1.86,8.97,8.87,2.51,9.13,0,352,30,14,237,not valid frame,1,14878,30166
1.87,8.97,8.98,2.52,8.85,0,352,30,14,237,not valid frame,1,14878,30166
1.87,9.92,8.95,2.55,8.95,0,352,30,14,237,not valid frame,1,14878,30166
1.88,8.79,9.94,2.53,9.5,0,352,30,0,237,not valid frame,1,14878,30166
1.89,8.89,8.7,2.49,9.25,0,352,30,14,237,not valid frame,1,14878,30166
1.9,8.72,8.87,2.51,9.44,0,353,30,14,237,not valid frame,1,14878,30178
