Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),Context,,,,,,,,
1.34,10.01,9.82,5.63,9.78,0,1346,941,0,6,1,1,60687,600396
1.35,10.08,10.51,5.53,9.9,0,1389,973,157,6,1,1,60687,621516
1.36,9.49,9.52,5.76,10.21,0,1343,941,157,6,1,1,60687,600360
1.37,9.51,9.43,5.65,9.75,0,1352,941,0,6,1,1,60687,600468
1.38,9.62,9.43,5.58,9.65,0,1346,941,157,6,1,1,60687,600398
1.39,9.57,9.64,5.67,9.2,0,1345,941,0,6,1,1,60687,600386
1.4,9.5,9.5,5.65,9.75,0,1333,941,157,6,1,1,60687,600242
1.41,9.47,9.42,5.7,9.71,0,1347,939,0,6,1,1,60687,600442
1.41,9.47,9.51,5.57,9.04,0,1385,971,0,6,1,1,60687,600462
1.42,9.59,9.46,5.74,9.62,0,1387,967,157,6,1,1,60687,612870
1.43,9.36,9.51,5.71,9.53,0,1387,967,0,6,1,1,60687,612870
1.44,9.57,9.43,5.54,9.71,0,1344,941,0,6,1,1,60687,600374
1.45,9.44,9.49,5.86,9.38,0,1344,941,157,6,1,1,60687,600374
1.46,9.51,9.51,5.55,9.39,0,1353,941,157,6,1,1,60687,600482
1.47,9.54,9.45,5.77,9.84,0,1351,941,157,6,1,1,60687,600458
1.48,9.57,9.47,5.61,9.06,0,1337,941,157,6,1,1,60687,600290
1.49,9.5,9.55,5.65,9.74,0,1336,941,157,6,1,1,60687,600278
1.5,11.11,11.04,5.52,9.69,0,1396,973,0,6,1,1,60687,621602
1.51,9.47,9.54,5.7,10.7,0,1339,939,0,6,1,1,60687,598838
1.52,9.49,9.4,5.56,9.72,0,1340,939,0,6,1,1,60687,598850
1.53,9.46,9.49,5.57,9.6,0,1392,971,157,6,1,1,60687,620206
1.54,9.56,9.44,5.65,9.13,0,1394,971,0,6,1,1,60687,620230
1.55,9.44,9.42,5.75,9.63,0,1394,971,157,6,1,1,60687,620230
1.56,9.49,9.46,5.7,9.66,0,1347,939,157,6,1,1,60687,598932
1.57,9.49,9.45,5.81,9.94,0,1351,939,157,6,1,1,60687,598980
1.58,9.59,9.48,5.59,8.69,0,1377,971,0,6,1,1,60687,620028
1.59,9.5,9.56,5.61,9.8,0,1338,939,157,6,1,1,60687,598826
1.6,9.42,9.44,5.58,9.73,0,1346,939,0,6,1,1,60687,598922
1.61,9.54,9.38,5.74,9.16,0,1384,966,0,6,1,1,60687,608234
1.62,9.41,9.47,5.82,9.49,0,1391,969,157,6,1,1,60687,620216
1.63,9.6,9.5,5.55,9.47,0,1391,969,0,6,1,1,60687,620216
1.63,9.5,9.5,5.77,9.85,0,1333,937,0,6,1,1,60687,598786
1.64,9.5,9.55,5.66,9.47,0,5350256,966,157,6,1,1,60687,1391
1.65,9.51,9.46,5.81,9.53,0,1392,969,157,6,1,1,60687,620228
1.66,9.5,9.47,5.5,9.23,0,1396,966,0,6,1,1,60687,608378
1.67,9.43,9.44,5.63,9.77,0,1326,939,0,6,1,1,60687,598682
1.68,9.46,9.39,5.65,9.51,0,1348,939,0,6,1,1,60687,598946
1.69,9.61,9.5,5.71,9.05,0,1388,971,0,6,1,1,60687,620160
1.7,9.44,9.6,6.54,9.72,0,1388,971,158,6,1,1,60687,620160
1.71,9.42,9.39,5.48,9.74,0,1723,1205,0,6,1,1,60687,874994
1.72,9.45,9.4,5.81,9.34,0,1348,942,158,6,1,1,60687,600154
1.73,9.44,9.42,5.66,9.53,0,1388,975,158,6,1,1,60687,622852
1.74,9.61,9.41,5.75,9.15,0,1351,942,0,6,1,1,60687,600190
1.75,9.46,9.63,5.68,9.56,0,1346,942,157,6,1,1,60687,600130
1.76,10.01,9.78,5.78,9.79,0,1372,965,157,6,1,1,60687,611202
1.77,9.56,9.67,6.04,9.96,0,1386,969,0,6,1,1,60687,620156
1.78,9.43,9.4,5.68,9.26,0,1386,969,157,6,1,1,60687,620156
1.79,9.44,9.43,5.77,9.54,0,1344,937,157,6,1,1,60687,598918
1.8,9.42,9.46,5.65,9.44,0,5351920,966,0,6,1,1,60687,1387
1.81,9.64,9.49,5.58,9.64,0,1387,969,0,6,1,1,60687,620140
1.82,9.51,9.53,5.99,9.25,0,1346,937,157,6,1,1,60687,598914
1.83,9.42,9.44,5.95,9.73,0,1379,966,0,6,1,1,60687,608146
1.83,9.61,9.48,5.88,9.44,0,1385,964,157,6,1,1,60687,608250
1.84,9.53,9.55,5.88,9.57,0,1385,964,157,6,1,1,60687,608250
1.85,9.48,9.41,5.61,9.89,0,1443,999,0,6,1,1,60687,620344
1.86,9.54,9.5,5.87,9.44,0,1332,937,157,6,1,1,60687,598746
1.87,9.43,9.48,5.78,9.02,0,1388,966,0,6,1,1,60687,608254
1.88,9.47,9.42,5.6,9.54,0,1394,969,157,6,1,1,60687,620224
1.89,9.61,9.45,5.74,9.68,0,1342,937,157,6,1,1,60687,598866
1.9,9.56,9.67,5.84,9.6,0,1384,964,157,6,1,1,60687,608238
1.91,10.08,9.94,6.29,9.22,0,43938474,967,157,6,1,1,60687,1383
1.92,9.49,9.61,5.82,10,0,43938474,967,157,6,1,1,60687,1383
1.93,9.88,9.41,5.78,9.51,0,1402,969,157,6,1,1,60687,620348
1.94,9.47,9.91,5.93,9.45,0,1348,937,0,6,1,1,60687,598966
1.95,9.51,9.41,5.76,9.89,0,1392,966,157,6,1,1,60687,608330
1.96,10.31,9.51,5.93,9.48,0,1380,969,0,6,1,1,60687,620084
1.97,9.56,10.31,6.18,9.49,0,43910314,966,0,6,1,1,60687,1391
1.98,9.52,9.49,5.73,10.3,0,1346,939,0,6,1,1,60687,598916
1.99,9.62,9.53,5.68,9.61,0,1396,971,157,6,1,1,60687,620258
2,9.47,9.53,5.7,9.45,0,1344,939,0,6,1,1,60687,598900
2.01,9.6,9.49,5.62,9.67,0,1390,971,157,6,1,1,60687,620186
2.02,9.67,9.61,5.61,9.45,0,1342,941,0,6,1,1,60687,600352
2.03,9.55,9.48,6.11,9.71,0,1359,941,157,6,1,1,60687,600556
2.04,9.48,9.51,5.95,10.34,0,1398,973,0,6,1,1,60687,621620
2.05,9.51,9.48,5.81,8.63,0,1350,941,157,6,1,1,60687,600448
2.06,9.5,9.45,5.71,9.53,0,1334,939,157,6,1,1,60687,598780
2.07,9.65,9.52,5.63,9.51,0,1394,971,157,6,1,1,60687,620234
2.07,9.47,9.65,5.65,9.49,0,1348,941,0,6,1,1,60687,600412
2.08,9.77,9.47,5.73,9.68,0,1349,943,0,6,1,1,60687,600680
2.09,9.5,9.69,6.09,9.65,0,1349,943,158,6,1,1,60687,600680
2.1,9.57,9.55,5.74,10.2,0,1388,969,0,6,1,1,60687,613236
2.11,9.48,9.5,6.19,9.12,0,1397,978,159,6,1,1,60687,625016
2.12,9.63,9.58,5.97,9.36,0,5355696,970,159,6,1,1,60687,1398
2.13,9.5,9.6,5.87,9.57,0,5359536,978,0,6,1,1,60687,1402
2.14,10.03,9.85,5.75,9.73,0,1382,974,157,6,1,1,60687,606694
2.15,9.62,9.64,5.95,9.78,0,1401,974,0,6,1,1,60687,606850
2.16,9.48,9.57,5.8,9.61,0,1401,974,0,6,1,1,60687,606850
2.17,9.57,9.46,5.84,9.67,0,1349,944,0,6,1,1,60687,606702
2.18,9.58,9.54,5.89,9.38,0,1392,972,157,6,1,1,60687,612978
2.19,9.55,9.53,6.11,9.72,0,1400,976,158,6,1,1,60687,606820
2.2,9.56,9.51,6.08,9.55,0,5363888,973,158,6,1,1,60687,1391
2.21,9.49,9.56,5.92,9.42,0,5367728,953,0,6,1,1,60687,1360
